version,os,arch,compress,url,padding
5.34.0.0,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.34.0.0/perl-x86_64-linux.tar.xz,
5.34.0.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.34.0.0/perl-x86_64-linux.tar.gz,
5.34.0.0,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.34.0.0/perl-darwin-2level.tar.xz,
5.34.0.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.34.0.0/perl-darwin-2level.tar.gz,
5.32.1.0,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.32.1.0/perl-x86_64-linux.tar.xz,
5.32.1.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.32.1.0/perl-x86_64-linux.tar.gz,
5.32.1.0,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.32.1.0/perl-darwin-2level.tar.xz,
5.32.1.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.32.1.0/perl-darwin-2level.tar.gz,
5.32.0.1,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.32.0.1/perl-x86_64-linux.tar.xz,
5.32.0.1,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.32.0.1/perl-x86_64-linux.tar.gz,
5.32.0.1,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.32.0.1/perl-darwin-2level.tar.xz,
5.32.0.1,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.32.0.1/perl-darwin-2level.tar.gz,
5.32.0.0,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.32.0.0/perl-x86_64-linux.tar.xz,
5.32.0.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.32.0.0/perl-x86_64-linux.tar.gz,
5.32.0.0,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.32.0.0/perl-darwin-2level.tar.xz,
5.32.0.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.32.0.0/perl-darwin-2level.tar.gz,
5.30.3.0,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.30.3.0/perl-x86_64-linux.tar.xz,
5.30.3.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.30.3.0/perl-x86_64-linux.tar.gz,
5.30.3.0,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.30.3.0/perl-darwin-2level.tar.xz,
5.30.3.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.30.3.0/perl-darwin-2level.tar.gz,
5.30.2.0,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.30.2.0/perl-x86_64-linux.tar.xz,
5.30.2.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.30.2.0/perl-x86_64-linux.tar.gz,
5.30.2.0,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.30.2.0/perl-darwin-2level.tar.xz,
5.30.2.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.30.2.0/perl-darwin-2level.tar.gz,
5.30.1.1,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.30.1.1/perl-x86_64-linux.tar.xz,
5.30.1.1,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.30.1.1/perl-x86_64-linux.tar.gz,
5.30.1.1,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.30.1.1/perl-darwin-2level.tar.xz,
5.30.1.1,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.30.1.1/perl-darwin-2level.tar.gz,
5.30.0.3,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.3/perl-x86_64-linux.tar.xz,
5.30.0.3,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.3/perl-x86_64-linux.tar.gz,
5.30.0.3,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.3/perl-darwin-2level.tar.xz,
5.30.0.3,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.3/perl-darwin-2level.tar.gz,
5.30.0.2,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.2/perl-x86_64-linux.tar.xz,
5.30.0.2,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.2/perl-x86_64-linux.tar.gz,
5.30.0.2,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.2/perl-darwin-2level.tar.xz,
5.30.0.2,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.2/perl-darwin-2level.tar.gz,
5.30.0.1,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.1/perl-x86_64-linux.tar.xz,
5.30.0.1,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.1/perl-x86_64-linux.tar.gz,
5.30.0.1,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.1/perl-darwin-2level.tar.xz,
5.30.0.1,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.1/perl-darwin-2level.tar.gz,
5.30.0.0,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.0/perl-x86_64-linux.tar.xz,
5.30.0.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.0/perl-x86_64-linux.tar.gz,
5.30.0.0,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.0/perl-darwin-2level.tar.xz,
5.30.0.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.30.0.0/perl-darwin-2level.tar.gz,
5.28.2.0,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.28.2.0/perl-x86_64-linux.tar.xz,
5.28.2.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.28.2.0/perl-x86_64-linux.tar.gz,
5.28.2.0,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.28.2.0/perl-darwin-2level.tar.xz,
5.28.2.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.28.2.0/perl-darwin-2level.tar.gz,
5.28.1.0,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.28.1.0/perl-x86_64-linux.tar.xz,
5.28.1.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.28.1.0/perl-x86_64-linux.tar.gz,
5.28.1.0,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.28.1.0/perl-darwin-2level.tar.xz,
5.28.1.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.28.1.0/perl-darwin-2level.tar.gz,
5.28.0.1,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.28.0.1/perl-x86_64-linux.tar.xz,
5.28.0.1,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.28.0.1/perl-x86_64-linux.tar.gz,
5.28.0.1,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.28.0.1/perl-darwin-2level.tar.xz,
5.28.0.1,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.28.0.1/perl-darwin-2level.tar.gz,
5.28.0.0,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.28.0.0/perl-x86_64-linux.tar.xz,
5.28.0.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.28.0.0/perl-x86_64-linux.tar.gz,
5.28.0.0,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.28.0.0/perl-darwin-2level.tar.xz,
5.28.0.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.28.0.0/perl-darwin-2level.tar.gz,
5.26.2.1,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.26.2.1/perl-x86_64-linux.tar.xz,
5.26.2.1,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.26.2.1/perl-x86_64-linux.tar.gz,
5.26.2.1,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.26.2.1/perl-darwin-2level.tar.xz,
5.26.2.1,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.26.2.1/perl-darwin-2level.tar.gz,
5.26.2.0,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.26.2.0/perl-x86_64-linux.tar.xz,
5.26.2.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.26.2.0/perl-x86_64-linux.tar.gz,
5.26.2.0,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.26.2.0/perl-darwin-2level.tar.xz,
5.26.2.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.26.2.0/perl-darwin-2level.tar.gz,
5.26.1.1,linux,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.26.1.1/perl-x86_64-linux.tar.xz,
5.26.1.1,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.26.1.1/perl-x86_64-linux.tar.gz,
5.26.1.1,darwin,x86_64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.26.1.1/perl-darwin-2level.tar.xz,
5.26.1.1,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.26.1.1/perl-darwin-2level.tar.gz,
5.26.1.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.26.1.0/perl-x86_64-linux.tar.gz,
5.26.1.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.26.1.0/perl-darwin-2level.tar.gz,
5.26.0.1,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.26.0.1/perl-x86_64-linux.tar.gz,
5.26.0.1,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.26.0.1/perl-darwin-2level.tar.gz,
5.26.0.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.26.0.0/perl-x86_64-linux.tar.gz,
5.26.0.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.26.0.0/perl-darwin-2level.tar.gz,
5.24.1.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.24.1.0/perl-x86_64-linux.tar.gz,
5.24.1.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.24.1.0/perl-darwin-2level.tar.gz,
5.24.0.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.24.0.0/perl-x86_64-linux.tar.gz,
5.24.0.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.24.0.0/perl-darwin-2level.tar.gz,
5.22.1.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.22.1.0/perl-x86_64-linux.tar.gz,
5.22.1.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.22.1.0/perl-darwin-2level.tar.gz,
5.22.0.0,linux,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.22.0.0/perl-x86_64-linux.tar.gz,
5.22.0.0,darwin,x86_64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.22.0.0/perl-darwin-2level.tar.gz,
